"","x","freq"
"145","ABBY",195
"160","ABIGAIL",149
"162","ABIGAL",68
"189","ADA",177
"201","ADALINE",213
"236","ADELIA",96
"245","ADELINE",138
"309","AGNES",265
"310","AGNESS",53
"423","ALICE",719
"467","ALLICE",114
"503","ALMIRA",186
"623","AMANDA",791
"648","AMELIA",421
"662","AMERICA",51
"693","AMY",90
"767","ANGELINE",204
"800","ANN",2769
"803","ANNA",1851
"813","ANNE",225
"831","ANNIE",331
"912","ARABELLA",55
"1164","AUGUSTA",194
"1281","BARBARA",429
"1287","BARBARY",85
"1412","BERTHA",77
"1447","BETSEY",317
"1449","BETSY",160
"1453","BETTIE",60
"1522","BRIDGET",908
"1716","CAROLINE",1555
"1723","CARRIE",129
"1776","CATH",270
"1796","CATHARAINE",53
"1803","CATHARIN",93
"1806","CATHARINE",2197
"1823","CATHERIN",69
"1825","CATHERINE",1247
"1853","CATHRINE",140
"1904","CELIA",102
"1966","CHARITY",94
"1986","CHARLOTT",60
"1988","CHARLOTTE",513
"2062","CHRISTENA",55
"2068","CHRISTIAN",52
"2069","CHRISTIANA",106
"2078","CHRISTINA",171
"2139","CLARA",426
"2177","CLARISSA",149
"2319","CORA",83
"2331","CORDELIA",101
"2355","CORNELIA",199
"2453","CYNTHA",59
"2456","CYNTHIA",189
"2524","DEBORAH",103
"2560","DELIA",156
"2567","DELILA",75
"2568","DELILAH",51
"2709","DORA",84
"2931","ELEANOR",130
"2940","ELECTA",50
"2948","ELEN",50
"2957","ELENOR",49
"3023","ELISA",172
"3028","ELISABETH",688
"3056","ELIZ",118
"3058","ELIZA",2642
"3072","ELIZABETH",5650
"3096","ELIZEBETH",117
"3110","ELIZTH",85
"3113","ELLA",439
"3123","ELLEN",2174
"3165","ELMIRA",98
"3232","ELVIRA",119
"3263","EMALINE",81
"3289","EMELINE",292
"3291","EMELY",73
"3322","EMILY",898
"3329","EMMA",1389
"3456","ESTER",81
"3460","ESTHER",293
"3515","EUNICE",149
"3542","EVA",162
"3547","EVALINE",57
"3555","EVE",63
"3566","EVELINE",79
"3614","FANNIE",132
"3615","FANNY",451
"3721","FLORA",145
"3728","FLORENCE",172
"3780","FRANCES",773
"3791","FRANCIS",404
"3975","GERTRUDE",99
"4026","GRACE",71
"4099","HANAH",76
"4108","HANNAH",1641
"4127","HARIET",73
"4143","HARRIET",1262
"4145","HARRIETT",216
"4166","HATTIE",115
"4193","HELEN",290
"4202","HELLEN",191
"4240","HENRIETTA",323
"4284","HESTER",146
"4362","HULDAH",65
"4377","IDA",454
"4412","INFANT",74
"4442","IRENE",59
"4453","ISABEL",126
"4457","ISABELL",53
"4458","ISABELLA",405
"4536","JANE",2626
"4605","JEMIMA",63
"4637","JENNIE",106
"4640","JENNY",55
"4699","JOANNA",155
"4718","JOHANNA",142
"4768","JOSEPHENE",66
"4774","JOSEPHINE",482
"4809","JUDITH",59
"4826","JULIA",1455
"4893","KATE",452
"5090","LAURA",574
"5126","LAVINA",106
"5152","LEAH",78
"5227","LENA",91
"5333","LEVINA",51
"5470","LIZZIE",185
"5506","LOIS",57
"5609","LOUISA",1377
"5614","LOUISE",85
"5665","LOVINA",59
"5725","LUCINDA",567
"5741","LUCRETIA",113
"5745","LUCY",1012
"5855","LYDIA",938
"5977","MAGGIE",58
"5988","MAHALA",153
"6038","MALINDA",268
"6044","MALISSA",89
"6187","MARGARET",3484
"6193","MARGARETT",206
"6235","MARGRET",348
"6248","MARGT",217
"6264","MARIA",1222
"6266","MARIAH",243
"6280","MARIE",82
"6287","MARIETTA",73
"6300","MARION",60
"6355","MARTHA",3440
"6380","MARY",19066
"6430","MATILDA",703
"6462","MAY",184
"6530","MELINDA",102
"6534","MELISSA",118
"6560","MELVINA",78
"6565","MENA",62
"6589","MERCY",52
"6657","MILDRED",51
"6684","MILLY",73
"6700","MINERVA",143
"6716","MINNIE",63
"6822","MRS",60
"6866","NANCY",2807
"7046","OLIVE",198
"7257","PAULINE",68
"7324","PERMELIA",64
"7370","PHEBE",393
"7473","PHOEBE",84
"7527","POLLY",362
"7563","PRISCILLA",71
"7576","PRUDENCE",64
"7615","RACHAEL",198
"7622","RACHEL",631
"7674","REBECA",64
"7675","REBECCA",1251
"7736","RHODA",201
"7835","ROSA",183
"7860","ROSANA",54
"7868","ROSANNA",137
"7873","ROSE",148
"7993","RUTH",349
"8073","SALLIE",201
"8077","SALLY",405
"8090","SAMANTHA",70
"8124","SARAH",7871
"8443","SOPHIA",592
"8461","SOPHRONIA",53
"8528","SUSAN",2141
"8531","SUSANA",54
"8532","SUSANAH",67
"8536","SUSANNA",218
"8537","SUSANNAH",155
"8611","TABITHA",50
"8706","TERESA",49
"8766","THERESA",87
"9047","VICTORIA",79
"9077","VIOLA",49
"9091","VIRGINIA",294
"9179","WILHELMINA",52
